"province","death_source_id","death_source_short","death_source_full"
"Alberta",24,"AB24","https://lethbridgenewsnow.com/2020/08/10/alberta-health-reports-two-covid-19-deaths-in-south-zone-this-weekend/"
"Alberta",25,"AB25","https://globalnews.ca/news/7273484/coronavirus-covid-19-alberta-health-update-august-13/"
"Alberta",26,"AB26","https://edmonton.ctvnews.ca/alberta-adds-84-new-covid-19-cases-1-more-death-on-friday-1.5065013"
"Alberta",27,"AB27","https://calgaryherald.com/news/local-news/covid-19-update-153-new-cases-one-new-death-another-unit-under-outbreak-at-foothills-school-districts-scramble-for-subs"
"Alberta",28,"AB28","https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-1.5771863"
"Alberta",29,"AB29","https://edmonton.ctvnews.ca/alberta-reaches-300-covid-19-deaths-as-cases-continue-to-set-records-1.5158623"
"Alberta",30,"AB30","https://www.cbc.ca/news/canada/edmonton/alberta-covid-coronavirus-1.5789987"
"Alberta",31,"AB31","https://www.youtube.com/watch?v=w8g7ZqKyFUE&ab_channel=YourAlberta"
"Alberta",32,"AB32","https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-deena-hinshaw-1.5795261"
"Alberta",33,"AB33","https://edmonton.ctvnews.ca/alberta-reports-672-new-cases-7-deaths-sets-hospitalization-record-for-6th-straight-day-1.5185017"
"Alberta",34,"AB34","https://calgary.ctvnews.ca/6-deaths-reported-in-calgary-zone-in-alberta-s-latest-covid-19-update-1.5186759"
"Alberta",35,"AB35","https://www.cbc.ca/news/canada/edmonton/alberta-records-907-new-cases-of-covid-19-along-with-5-additional-deaths-1.5801620"
"Alberta",36,"AB36","https://globalnews.ca/news/7465549/alberta-health-covid-19-november-16/"
"Alberta",37,"AB37","https://www.cbc.ca/news/canada/edmonton/deena-hinshaw-alberta-covid-19-coronavirus-1.5806635"
"Alberta",38,"AB38","https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-record-1.5808922"
"Alberta",39,"AB39","https://www.cbc.ca/news/canada/edmonton/alberta-reports-a-record-1-155-new-cases-of-covid-19-friday-1.5809836"
"Alberta",40,"AB40","https://www.cbc.ca/news/canada/edmonton/alberta-covid-19-coronavirus-hinshaw-ndp-notley-1.5812610"
"Alberta",41,"AB41","https://www.cbc.ca/news/canada/edmonton/deena-hinshaw-alberta-covid-19-coronavirus-1.5815883"
"Alberta",122,"AB122","https://edmonton.ctvnews.ca/alberta-reports-1-609-more-covid-19-cases-bringing-weekend-total-to-3-340-1.5209493"
"Alberta",123,"AB123","https://www.cbc.ca/news/canada/edmonton/deena-hinshaw-alberta-covid-19-coronavirus-1.5822070"
"Alberta",144,"AB144","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230707"
"Alberta",145,"AB145","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230708"
"Alberta",146,"AB146","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230709"
"Alberta",147,"AB147","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230710"
"Alberta",148,"AB148","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230711"
"Alberta",149,"AB149","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230712"
"Alberta",150,"AB150","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230713"
"Alberta",151,"AB151","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230714"
"Alberta",152,"AB152","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230715"
"Alberta",153,"AB153","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230716"
"Alberta",154,"AB154","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230717"
"Alberta",155,"AB155","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230718"
"Alberta",156,"AB156","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230719"
"Alberta",157,"AB157","https://edmonton.ctvnews.ca/alberta-adds-record-1-887-new-cases-cmoh-says-province-has-only-achieved-a-plateau-1.5230720"
"BC",1,"BC1","https://news.gov.bc.ca/releases/2020HLTH0068-000423"
"BC",2,"BC2","https://news.gov.bc.ca/releases/2020HLTH0086-000499"
"BC",3,"BC3","https://vancouverisland.ctvnews.ca/b-c-declares-public-health-emergency-with-12-cases-of-covid-19-on-vancouver-island-1.4857080"
"BC",4,"BC4","https://vancouverisland.ctvnews.ca/b-c-announces-40-new-cases-of-covid-19-1-new-death-1.4860444"
"BC",5,"BC5","https://globalnews.ca/news/6709493/bc-coronavirus-update-friday-march-20/"
"BC",6,"BC6","https://news.gov.bc.ca/releases/2020HLTH0102-000540"
"BC",7,"BC7","https://globalnews.ca/news/6717945/coronavirus-health-update-march-23/"
"BC",8,"BC8","https://www.cbc.ca/news/canada/british-columbia/covid-19-update-bc-mar-25-1.5510148"
"BC",9,"BC9","https://news.gov.bc.ca/releases/2020HLTH0113-000581"
"BC",10,"BC10","https://www.cbc.ca/news/canada/british-columbia/bc-covid-19-update-saturday-1.5513615"
"BC",11,"BC11","https://www.youtube.com/watch?v=66DKLWSDIyI"
"BC",12,"BC12","https://www.youtube.com/watch?v=Bp-7-UBewno"
"BC",13,"BC13","http://www.bccdc.ca/health-info/diseases-conditions/covid-19"
"BC",14,"BC14","https://www.youtube.com/watch?v=bxuwCHj0lyc"
"BC",15,"BC15","https://www.youtube.com/watch?v=FAyl9qc1B-Q"
"BC",16,"BC16","https://www.youtube.com/watch?v=r00WaROLPGE"
"BC",17,"BC17","http://www.bccdc.ca/health-info/diseases-conditions/covid-19/case-counts-press-statements"
"BC",18,"BC18","http://www.bccdc.ca/Health-Info-Site/Documents/BC_Surveillance_Summary_April_7.pdf"
"BC",19,"BC19","https://www.youtube.com/watch?v=heeagju1-CM"
"BC",20,"BC20","https://www.youtube.com/watch?v=1qm01QWFv6Y"
"BC",21,"BC21","https://news.gov.bc.ca/releases/2020HLTH0019-000677"
"BC",22,"BC22","https://www.youtube.com/watch?v=Go2tYdTFFhw"
