"province","date_death_report","deaths","cumulative_deaths"
"Saskatchewan","08-03-2020",0,0
"Saskatchewan","09-03-2020",0,0
"Saskatchewan","10-03-2020",0,0
"Saskatchewan","11-03-2020",0,0
"Saskatchewan","12-03-2020",0,0
"Saskatchewan","13-03-2020",0,0
"Saskatchewan","14-03-2020",0,0
"Saskatchewan","15-03-2020",0,0
"Saskatchewan","16-03-2020",0,0
"Saskatchewan","17-03-2020",0,0
"Saskatchewan","18-03-2020",0,0
"Saskatchewan","19-03-2020",0,0
"Saskatchewan","20-03-2020",0,0
"Saskatchewan","21-03-2020",0,0
"Saskatchewan","22-03-2020",0,0
"Saskatchewan","23-03-2020",0,0
"Saskatchewan","24-03-2020",0,0
"Saskatchewan","25-03-2020",0,0
"Saskatchewan","26-03-2020",0,0
"Saskatchewan","27-03-2020",0,0
"Saskatchewan","28-03-2020",0,0
"Saskatchewan","29-03-2020",0,0
"Saskatchewan","30-03-2020",2,2
"Saskatchewan","31-03-2020",0,2
"Saskatchewan","01-04-2020",1,3
"Saskatchewan","02-04-2020",0,3
"Saskatchewan","03-04-2020",0,3
"Saskatchewan","04-04-2020",0,3
"Saskatchewan","05-04-2020",0,3
"Saskatchewan","06-04-2020",0,3
"Saskatchewan","07-04-2020",0,3
"Saskatchewan","08-04-2020",0,3
"Saskatchewan","09-04-2020",0,3
"Saskatchewan","10-04-2020",0,3
"Saskatchewan","11-04-2020",1,4
"Saskatchewan","12-04-2020",0,4
"Saskatchewan","13-04-2020",0,4
"Saskatchewan","14-04-2020",0,4
"Saskatchewan","15-04-2020",0,4
"Saskatchewan","16-04-2020",0,4
"Saskatchewan","17-04-2020",0,4
"Saskatchewan","18-04-2020",0,4
"Saskatchewan","19-04-2020",0,4
"Saskatchewan","20-04-2020",0,4
"Saskatchewan","21-04-2020",0,4
"Saskatchewan","22-04-2020",0,4
"Saskatchewan","23-04-2020",0,4
"Saskatchewan","24-04-2020",0,4
"Saskatchewan","25-04-2020",0,4
"Saskatchewan","26-04-2020",0,4
"Saskatchewan","27-04-2020",1,5
"Saskatchewan","28-04-2020",0,5
"Saskatchewan","29-04-2020",1,6
"Saskatchewan","30-04-2020",0,6
"Saskatchewan","01-05-2020",0,6
"Saskatchewan","02-05-2020",0,6
"Saskatchewan","03-05-2020",0,6
"Saskatchewan","04-05-2020",0,6
