"name","province","sub_region_1","sub_region_2","date","value","value_daily"
"cases_cumulative_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-24","1",NA
"cases_cumulative_residents","NT","Northwest Territories","Beaufort Delta","2021-06-24","4",NA
"cases_cumulative_nonresidents","NT","Northwest Territories","Dehcho","2021-06-24","0",NA
"cases_cumulative_residents","NT","Northwest Territories","Dehcho","2021-06-24","7",NA
"cases_cumulative_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-24","0",NA
"cases_cumulative_residents","NT","Northwest Territories","Fort Smith","2021-06-24","8",NA
"cases_cumulative_nonresidents","NT","Northwest Territories","Hay River","2021-06-24","0",NA
"cases_cumulative_residents","NT","Northwest Territories","Hay River","2021-06-24","1",NA
"cases_cumulative_nonresidents","NT","Northwest Territories","Sahtu","2021-06-24","2",NA
"cases_cumulative_residents","NT","Northwest Territories","Sahtu","2021-06-24","0",NA
"cases_cumulative_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-06-24","0",NA
"cases_cumulative_residents","NT","Northwest Territories","Tłı̨chǫ","2021-06-24","0",NA
"cases_cumulative_nonresidents","NT","Northwest Territories","Yellowknife","2021-06-24","38",NA
"cases_cumulative_residents","NT","Northwest Territories","Yellowknife","2021-06-24","100",NA
"cases_cumulative_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-25","1","0"
"cases_cumulative_residents","NT","Northwest Territories","Beaufort Delta","2021-06-25","4","0"
"cases_cumulative_nonresidents","NT","Northwest Territories","Dehcho","2021-06-25","0","0"
"cases_cumulative_residents","NT","Northwest Territories","Dehcho","2021-06-25","7","0"
"cases_cumulative_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-25","0","0"
"cases_cumulative_residents","NT","Northwest Territories","Fort Smith","2021-06-25","8","0"
"cases_cumulative_nonresidents","NT","Northwest Territories","Hay River","2021-06-25","0","0"
"cases_cumulative_residents","NT","Northwest Territories","Hay River","2021-06-25","1","0"
"cases_cumulative_nonresidents","NT","Northwest Territories","Sahtu","2021-06-25","2","0"
