"name","province","sub_region_1","sub_region_2","date","value","value_daily"
"active_residents","NT","Northwest Territories","Dehcho","2021-06-29","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-29","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-06-29","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-06-29","1","0"
"active_residents","NT","Northwest Territories","Hay River","2021-06-29","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-06-29","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-06-29","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-06-29","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-06-29","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-06-29","1","1"
"active_residents","NT","Northwest Territories","Yellowknife","2021-06-29","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-06-30","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-06-30","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-06-30","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-06-30","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-06-30","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-06-30","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-06-30","1","0"
"active_residents","NT","Northwest Territories","Hay River","2021-06-30","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-06-30","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-06-30","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-06-30","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-06-30","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-06-30","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-06-30","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-01","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-01","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-01","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-01","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-01","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-01","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-01","1","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-01","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-01","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-01","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-01","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-01","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-01","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-01","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-02","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-02","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-02","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-02","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-02","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-02","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-02","0","-1"
"active_residents","NT","Northwest Territories","Hay River","2021-07-02","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-02","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-02","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-02","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-02","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-02","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-02","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-03","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-03","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-03","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-03","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-03","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-03","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-03","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-03","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-03","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-03","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-03","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-03","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-03","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-03","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-04","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-04","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-04","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-04","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-04","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-04","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-04","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-04","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-04","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-04","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-04","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-04","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-04","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-04","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-05","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-05","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-05","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-05","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-05","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-05","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-05","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-05","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-05","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-05","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-05","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-05","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-05","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-05","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-06","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-06","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-06","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-06","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-06","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-06","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-06","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-06","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-06","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-06","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-06","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-06","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-06","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-06","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-07","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-07","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-07","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-07","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-07","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-07","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-07","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-07","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-07","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-07","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-07","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-07","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-07","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-07","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-08","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-08","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-08","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-08","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-08","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-08","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-08","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-08","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-08","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-08","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-08","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-08","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-08","1","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-08","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-09","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-09","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-09","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-09","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-09","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-09","0","0"
