"name","province","sub_region_1","sub_region_2","date","value","value_daily"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-09","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-09","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-09","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-09","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-09","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-09","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-09","0","-1"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-09","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-10","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-10","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-10","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-10","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-10","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-10","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-10","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-10","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-10","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-10","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-10","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-10","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-10","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-10","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-11","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-11","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-11","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-11","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-11","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-11","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-11","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-11","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-11","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-11","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-11","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-11","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-11","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-11","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-12","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-12","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-12","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-12","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-12","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-12","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-12","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-12","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-12","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-12","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-12","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-12","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-12","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-12","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-13","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-13","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-13","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-13","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-13","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-13","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-13","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-13","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-13","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-13","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-13","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-13","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-13","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-13","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-14","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-14","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-14","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-14","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-14","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-14","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-14","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-14","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-14","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-14","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-14","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-14","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-14","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-14","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-15","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-15","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-15","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-15","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-15","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-15","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-15","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-15","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-15","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-15","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-15","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-15","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-15","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-15","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-16","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-16","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-16","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-16","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-16","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-16","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-16","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-16","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-16","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-16","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-16","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-16","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-16","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-16","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-17","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-17","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-17","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-17","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-17","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-17","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-17","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-17","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-17","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-17","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-17","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-17","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-17","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-17","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-18","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-18","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-18","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-18","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-18","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-18","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-18","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-18","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-18","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-18","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-18","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-18","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-18","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-18","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-19","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-19","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-19","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-19","0","0"
"active_nonresidents","NT","Northwest Territories","Fort Smith","2021-07-19","0","0"
"active_residents","NT","Northwest Territories","Fort Smith","2021-07-19","0","0"
"active_nonresidents","NT","Northwest Territories","Hay River","2021-07-19","0","0"
"active_residents","NT","Northwest Territories","Hay River","2021-07-19","0","0"
"active_nonresidents","NT","Northwest Territories","Sahtu","2021-07-19","0","0"
"active_residents","NT","Northwest Territories","Sahtu","2021-07-19","0","0"
"active_nonresidents","NT","Northwest Territories","Tłı̨chǫ","2021-07-19","0","0"
"active_residents","NT","Northwest Territories","Tłı̨chǫ","2021-07-19","0","0"
"active_nonresidents","NT","Northwest Territories","Yellowknife","2021-07-19","0","0"
"active_residents","NT","Northwest Territories","Yellowknife","2021-07-19","0","0"
"active_nonresidents","NT","Northwest Territories","Beaufort Delta","2021-07-20","0","0"
"active_residents","NT","Northwest Territories","Beaufort Delta","2021-07-20","0","0"
"active_nonresidents","NT","Northwest Territories","Dehcho","2021-07-20","0","0"
"active_residents","NT","Northwest Territories","Dehcho","2021-07-20","0","0"
