"province","date_recovered","recovered","cumulative_recovered"
"Alberta","10-08-2020",287,10384
"Alberta","11-08-2020",168,10552
"Alberta","12-08-2020",80,10632
"Alberta","13-08-2020",81,10713
"Alberta","14-08-2020",83,10796
"Alberta","15-08-2020",0,10796
"Alberta","16-08-2020",0,10796
"Alberta","17-08-2020",260,11056
"Alberta","18-08-2020",-31,11025
"Alberta","19-08-2020",142,11167
"Alberta","20-08-2020",125,11292
"Alberta","21-08-2020",82,11374
"Alberta","22-08-2020",0,11374
"Alberta","23-08-2020",0,11374
"Alberta","24-08-2020",226,11600
"Alberta","25-08-2020",114,11714
"Alberta","26-08-2020",85,11799
"Alberta","27-08-2020",124,11923
"Alberta","28-08-2020",131,12054
"Alberta","29-08-2020",0,12054
"Alberta","30-08-2020",0,12054
"Alberta","31-08-2020",239,12293
"Alberta","01-09-2020",134,12427
"Alberta","02-09-2020",108,12535
"Alberta","03-09-2020",118,12653
"Alberta","04-09-2020",146,12799
"Alberta","05-09-2020",0,12799
"Alberta","06-09-2020",0,12799
"Alberta","07-09-2020",0,12799
"Alberta","08-09-2020",355,13154
"Alberta","09-09-2020",204,13358
"Alberta","10-09-2020",199,13557
"Alberta","11-09-2020",161,13718
"Alberta","12-09-2020",0,13718
"Alberta","13-09-2020",0,13718
"Alberta","14-09-2020",323,14041
"Alberta","15-09-2020",171,14212
"Alberta","16-09-2020",167,14379
"Alberta","17-09-2020",158,14537
"Alberta","18-09-2020",165,14702
"Alberta","19-09-2020",0,14702
"Alberta","20-09-2020",0,14702
"Alberta","21-09-2020",322,15024
"Alberta","22-09-2020",42,15066
"Alberta","23-09-2020",186,15252
"Alberta","24-09-2020",215,15467
"Alberta","25-09-2020",118,15585
"Alberta","26-09-2020",0,15585
"Alberta","27-09-2020",0,15585
"Alberta","28-09-2020",350,15935
"Alberta","29-09-2020",137,16072
"Alberta","30-09-2020",141,16213
"Alberta","01-10-2020",157,16370
"Alberta","02-10-2020",157,16527
"Alberta","03-10-2020",0,16527
"Alberta","04-10-2020",0,16527
"Alberta","05-10-2020",345,16872
"Alberta","06-10-2020",158,17030
"Alberta","07-10-2020",133,17163
"Alberta","08-10-2020",175,17338
"Alberta","09-10-2020",150,17488
"Alberta","10-10-2020",0,17488
"Alberta","11-10-2020",0,17488
"Alberta","12-10-2020",0,17488
"Alberta","13-10-2020",567,18055
"Alberta","14-10-2020",168,18223
"Alberta","15-10-2020",194,18417
"Alberta","16-10-2020",234,18651
"Alberta","17-10-2020",0,18651
"Alberta","18-10-2020",0,18651
"BC","12-02-2020",0,0
"BC","13-02-2020",0,0
"BC","14-02-2020",0,0
"BC","15-02-2020",0,0
"BC","16-02-2020",0,0
"BC","17-02-2020",0,0
"BC","18-02-2020",0,0
"BC","19-02-2020",1,1
"BC","20-02-2020",0,1
"BC","21-02-2020",0,1
"BC","22-02-2020",0,1
"BC","23-02-2020",0,1
"BC","24-02-2020",0,1
"BC","25-02-2020",3,4
"BC","26-02-2020",0,4
"BC","27-02-2020",0,4
"BC","28-02-2020",0,4
"BC","29-02-2020",0,4
"BC","01-03-2020",0,4
"BC","02-03-2020",0,4
"BC","03-03-2020",0,4
"BC","04-03-2020",0,4
"BC","05-03-2020",0,4
"BC","06-03-2020",0,4
"BC","07-03-2020",0,4
"BC","08-03-2020",0,4
"BC","09-03-2020",0,4
"BC","10-03-2020",0,4
"BC","11-03-2020",0,4
"BC","12-03-2020",0,4
"BC","13-03-2020",1,5
"BC","14-03-2020",0,5
"BC","15-03-2020",0,5
"BC","16-03-2020",0,5
"BC","17-03-2020",0,5
"BC","18-03-2020",0,5
"BC","19-03-2020",0,5
"BC","20-03-2020",1,6
"BC","21-03-2020",0,6
"BC","22-03-2020",0,6
"BC","23-03-2020",94,100
"BC","24-03-2020",73,173
"BC","25-03-2020",10,183
"BC","26-03-2020",3,186
"BC","27-03-2020",89,275
"BC","28-03-2020",121,396
"BC","29-03-2020",0,396
"BC","30-03-2020",73,469
"BC","31-03-2020",38,507
"BC","01-04-2020",99,606
"BC","02-04-2020",35,641
"BC","03-04-2020",32,673
"BC","04-04-2020",31,704
"BC","05-04-2020",0,704
"BC","06-04-2020",79,783
"BC","07-04-2020",22,805
"BC","08-04-2020",33,838
"BC","09-04-2020",20,858
"BC","10-04-2020",21,879
"BC","11-04-2020",26,905
"BC","12-04-2020",0,905
"BC","13-04-2020",21,926
"BC","14-04-2020",16,942
"BC","15-04-2020",13,955
"BC","16-04-2020",11,966
"BC","17-04-2020",0,966
"BC","18-04-2020",21,987
"BC","19-04-2020",0,987
"BC","20-04-2020",52,1039
"BC","21-04-2020",2,1041
"BC","22-04-2020",38,1079
"BC","23-04-2020",13,1092
"BC","24-04-2020",22,1114
"BC","25-04-2020",23,1137
"BC","26-04-2020",0,1137
"BC","27-04-2020",53,1190
"BC","28-04-2020",41,1231
"BC","29-04-2020",74,1305
"BC","30-04-2020",17,1322
"BC","01-05-2020",35,1357
"BC","02-05-2020",19,1376
"BC","03-05-2020",0,1376
"BC","04-05-2020",41,1417
"BC","05-05-2020",55,1472
"BC","06-05-2020",22,1494
"BC","07-05-2020",18,1512
"BC","08-05-2020",67,1579
"BC","09-05-2020",80,1659
"BC","10-05-2020",0,1659
"BC","11-05-2020",60,1719
"BC","12-05-2020",113,1832
"BC","13-05-2020",27,1859
"BC","14-05-2020",26,1885
"BC","15-05-2020",23,1908
"BC","16-05-2020",24,1932
"BC","17-05-2020",0,1932
"BC","18-05-2020",34,1966
"BC","19-05-2020",9,1975
"BC","20-05-2020",26,2001
"BC","21-05-2020",19,2020
"BC","22-05-2020",22,2042
"BC","23-05-2020",15,2057
"BC","24-05-2020",0,2057
"BC","25-05-2020",45,2102
"BC","26-05-2020",20,2122
"BC","27-05-2020",22,2144
"BC","28-05-2020",9,2153
"BC","29-05-2020",17,2170
"BC","30-05-2020",11,2181
"BC","31-05-2020",0,2181
"BC","01-06-2020",26,2207
"BC","02-06-2020",22,2229
"BC","03-06-2020",14,2243
"BC","04-06-2020",22,2265
"BC","05-06-2020",7,2272
"BC","06-06-2020",0,2272
"BC","07-06-2020",0,2272
"BC","08-06-2020",37,2309
"BC","09-06-2020",10,2319
"BC","10-06-2020",9,2328
"BC","11-06-2020",16,2344
"BC","12-06-2020",10,2354
"BC","13-06-2020",0,2354
"BC","14-06-2020",0,2354
"BC","15-06-2020",41,2395
"BC","16-06-2020",21,2416
"BC","17-06-2020",6,2422
"BC","18-06-2020",3,2425
"BC","19-06-2020",19,2444
"BC","20-06-2020",0,2444
"BC","21-06-2020",0,2444
"BC","22-06-2020",27,2471
"BC","23-06-2020",20,2491
"BC","24-06-2020",25,2516
"BC","25-06-2020",1,2517
"BC","26-06-2020",28,2545
"BC","27-06-2020",0,2545
"BC","28-06-2020",0,2545
"BC","29-06-2020",32,2577
"BC","30-06-2020",13,2590
"BC","01-07-2020",0,2590
"BC","02-07-2020",13,2603
"BC","03-07-2020",5,2608
"BC","04-07-2020",0,2608
"BC","05-07-2020",0,2608
"BC","06-07-2020",21,2629
"BC","07-07-2020",16,2645
"BC","08-07-2020",15,2660
"BC","09-07-2020",7,2667
"BC","10-07-2020",12,2679
"BC","11-07-2020",0,2679
"BC","12-07-2020",0,2679
"BC","13-07-2020",39,2718
