"province","date_vaccine_distributed","dvaccine","cumulative_dvaccine"
"Alberta",2020-12-14,3900,3900
"Alberta",2020-12-15,0,3900
"Alberta",2020-12-16,0,3900
"BC",2020-12-14,4000,4000
"BC",2020-12-15,0,4000
"BC",2020-12-16,0,4000
"Manitoba",2020-12-14,900,900
"Manitoba",2020-12-15,0,900
"Manitoba",2020-12-16,0,900
"New Brunswick",2020-12-14,1950,1950
"New Brunswick",2020-12-15,0,1950
"New Brunswick",2020-12-16,0,1950
"NL",2020-12-14,1950,1950
"NL",2020-12-15,0,1950
"NL",2020-12-16,0,1950
"Nova Scotia",2020-12-14,1950,1950
"Nova Scotia",2020-12-15,0,1950
"Nova Scotia",2020-12-16,0,1950
"Nunavut",2020-12-14,0,0
"Nunavut",2020-12-15,0,0
"Nunavut",2020-12-16,0,0
"NWT",2020-12-14,0,0
"NWT",2020-12-15,0,0
"NWT",2020-12-16,0,0
"Ontario",2020-12-14,6000,6000
"Ontario",2020-12-15,0,6000
"Ontario",2020-12-16,0,6000
"PEI",2020-12-14,1950,1950
"PEI",2020-12-15,0,1950
"PEI",2020-12-16,0,1950
"Quebec",2020-12-14,4875,4875
"Quebec",2020-12-15,0,4875
"Quebec",2020-12-16,0,4875
"Saskatchewan",2020-12-14,1950,1950
"Saskatchewan",2020-12-15,0,1950
"Saskatchewan",2020-12-16,0,1950
"Yukon",2020-12-14,0,0
"Yukon",2020-12-15,0,0
"Yukon",2020-12-16,0,0
