"province","health_region","date_death_report","deaths","cumulative_deaths"
"Alberta","Calgary","04-08-2020",0,114
"Alberta","Calgary","05-08-2020",0,114
"Alberta","Calgary","06-08-2020",0,114
"Alberta","Calgary","07-08-2020",0,114
"Alberta","Calgary","08-08-2020",0,114
"Alberta","Calgary","09-08-2020",0,114
"Alberta","Calgary","10-08-2020",0,114
"Alberta","Calgary","11-08-2020",2,116
"Alberta","Calgary","12-08-2020",0,116
"Alberta","Calgary","13-08-2020",0,116
"Alberta","Calgary","14-08-2020",0,116
"Alberta","Calgary","15-08-2020",0,116
"Alberta","Calgary","16-08-2020",0,116
"Alberta","Calgary","17-08-2020",1,117
"Alberta","Calgary","18-08-2020",0,117
"Alberta","Calgary","19-08-2020",0,117
"Alberta","Calgary","20-08-2020",0,117
"Alberta","Calgary","21-08-2020",1,118
"Alberta","Calgary","22-08-2020",0,118
"Alberta","Calgary","23-08-2020",0,118
"Alberta","Calgary","24-08-2020",0,118
"Alberta","Calgary","25-08-2020",0,118
"Alberta","Calgary","26-08-2020",0,118
"Alberta","Calgary","27-08-2020",0,118
"Alberta","Calgary","28-08-2020",0,118
"Alberta","Calgary","29-08-2020",0,118
"Alberta","Calgary","30-08-2020",0,118
"Alberta","Calgary","31-08-2020",0,118
"Alberta","Calgary","01-09-2020",0,118
"Alberta","Calgary","02-09-2020",0,118
"Alberta","Calgary","03-09-2020",0,118
"Alberta","Calgary","04-09-2020",0,118
"Alberta","Calgary","05-09-2020",0,118
"Alberta","Calgary","06-09-2020",0,118
"Alberta","Calgary","07-09-2020",0,118
"Alberta","Calgary","08-09-2020",0,118
"Alberta","Calgary","09-09-2020",0,118
"Alberta","Calgary","10-09-2020",2,120
"Alberta","Calgary","11-09-2020",0,120
"Alberta","Calgary","12-09-2020",0,120
"Alberta","Calgary","13-09-2020",0,120
"Alberta","Calgary","14-09-2020",0,120
"Alberta","Calgary","15-09-2020",0,120
"Alberta","Calgary","16-09-2020",0,120
"Alberta","Calgary","17-09-2020",0,120
"Alberta","Calgary","18-09-2020",0,120
"Alberta","Calgary","19-09-2020",0,120
"Alberta","Calgary","20-09-2020",0,120
"Alberta","Calgary","21-09-2020",1,121
"Alberta","Calgary","22-09-2020",1,122
"Alberta","Calgary","23-09-2020",1,123
"Alberta","Calgary","24-09-2020",1,124
"Alberta","Calgary","25-09-2020",0,124
"Alberta","Calgary","26-09-2020",0,124
"Alberta","Calgary","27-09-2020",0,124
"Alberta","Calgary","28-09-2020",1,125
"Alberta","Calgary","29-09-2020",0,125
"Alberta","Calgary","30-09-2020",0,125
"Alberta","Calgary","01-10-2020",0,125
"Alberta","Calgary","02-10-2020",3,128
"Alberta","Calgary","03-10-2020",0,128
"Alberta","Calgary","04-10-2020",0,128
"Alberta","Calgary","05-10-2020",1,129
"Alberta","Calgary","06-10-2020",1,130
"Alberta","Calgary","07-10-2020",0,130
"Alberta","Calgary","08-10-2020",1,131
"Alberta","Calgary","09-10-2020",0,131
"Alberta","Calgary","10-10-2020",0,131
"Alberta","Calgary","11-10-2020",0,131
"Alberta","Calgary","12-10-2020",0,131
"Alberta","Calgary","13-10-2020",1,132
"Alberta","Calgary","14-10-2020",0,132
"Alberta","Calgary","15-10-2020",0,132
"Alberta","Calgary","16-10-2020",0,132
"Alberta","Calgary","17-10-2020",0,132
"Alberta","Calgary","18-10-2020",0,132
"Alberta","Calgary","19-10-2020",2,134
"Alberta","Calgary","20-10-2020",0,134
"Alberta","Calgary","21-10-2020",1,135
"Alberta","Calgary","22-10-2020",0,135
"Alberta","Calgary","23-10-2020",1,136
"Alberta","Calgary","24-10-2020",0,136
"Alberta","Calgary","25-10-2020",0,136
"Alberta","Calgary","26-10-2020",3,139
"Alberta","Calgary","27-10-2020",0,139
"Alberta","Calgary","28-10-2020",1,140
"Alberta","Calgary","29-10-2020",3,143
"Alberta","Calgary","30-10-2020",1,144
