"province","additional_source_id","additional_source_short","additional_source_full"
"Alberta",52,"AB52","https://globalnews.ca/news/7535579/alberta-coronavirus-update-dec-21/"
"Alberta",53,"AB53","https://globalnews.ca/news/7537416/alberta-covid-19-update-december-22/"
"Alberta",54,"AB54","https://calgaryherald.com/news/local-news/first-alberta-health-care-worker-to-die-from-covid-19-remembered-as-kind-caring-person"
"BC",1,"BC1","https://www.cbc.ca/news/canada/british-columbia/coronavirus-nursinghome-death-1.5514440"
"BC",2,"BC2","https://www.cbc.ca/news/canada/british-columbia/teresa-comey-follow-experts-covid19-1.5506645"
"BC",3,"BC3","https://web.archive.org/web/20200404022434/https://globalnews.ca/news/6769101/seniors-homes-coronavirus/"
"BC",4,"BC4","http://www.vch.ca/Documents/COVID-19-Daily-Update-March-28.pdf"
"BC",5,"BC5","http://www.haropark.org/"
"BC",6,"BC6","https://www.youtube.com/watch?v=2IkldcTfnuE"
"BC",7,"BC7","https://globalnews.ca/news/6769101/seniors-homes-coronavirus/"
"BC",8,"BC8","http://www.bccdc.ca/Health-Info-Site/Documents/BC_Surveillance_Summary_April_8%20final.pdf"
"BC",9,"BC9","https://news.gov.bc.ca/releases/2020HLTH0019-000680"
"BC",10,"BC10","https://ckpgtoday.ca/2020/05/11/update-1-new-case-of-covid-19-in-northern-health-1-death-in-b-c/"
"BC",11,"BC11","https://bc.ctvnews.ca/b-c-announces-21-new-cases-of-covid-19-3-more-deaths-as-recoveries-top-2-000-1.4946470"
"BC",12,"BC12","https://bc.ctvnews.ca/10-more-cases-2-more-deaths-from-covid-19-in-b-c-1.4951726"
"BC",13,"BC13","https://bc.ctvnews.ca/covid-19-records-shattered-as-b-c-announces-1-120-new-cases-from-the-weekend-1.5171043"
"BC",14,"BC14","https://globalnews.ca/news/7562139/bc-coronavirus-update-january-7/"
"Manitoba",1,"MB1","https://www.cbc.ca/news/canada/manitoba/manitoba-covid-19-1.5512266"
"Manitoba",2,"MB2","https://winnipeg.ctvnews.ca/second-person-dies-from-covid-19-in-manitoba-1.4881010"
"Manitoba",3,"MB3","https://steinbachonline.com/local/third-covid-19-death-in-manitoba"
"Manitoba",4,"MB4","https://www.cbc.ca/news/canada/manitoba/manitoba-covid-19-update-1.5529124"
"Manitoba",5,"MB5","https://winnipeg.ctvnews.ca/manitoba-announces-new-covid-19-death-1.4903961; https://www.cbc.ca/news/canada/manitoba/covid-19-manitoba-monday-1.5538465"
"Manitoba",6,"MB6","https://twitter.com/bkives/status/1301581998096515072"
"Manitoba",7,"MB7","https://www.cbc.ca/news/canada/manitoba/manitoba-covid-19-update-monday-september-21-1.5732454;https://twitter.com/bkives/status/1308107330148540417; https://news.gov.mb.ca/news/index.html?item=49279&posted=2020-09-21"
"Manitoba",8,"MB8","https://www.cbc.ca/news/canada/manitoba/manitoba-covid-19-update-monday-september-21-1.5732454;https://twitter.com/bkives/status/1308107330148540417;https://news.gov.mb.ca/news/index.html?item=49279&posted=2020-09-21"
"Manitoba",9,"MB9","https://news.gov.mb.ca/news/index.html?item=50107&posted=2020-12-24"
"New Brunswick",1,"NB1","https://globalnews.ca/news/7516351/coronavirus-new-brunswick-covid-19/"
"NL",1,"NL1","https://www.thetelegram.com/news/local/nl-reports-second-covid-19-death-434381/"
"NL",2,"NL2","https://www.thetelegram.com/news/local/newfoundland-and-labrador-reports-third-death-from-covid-19-436018/"
"Nova Scotia",1,"NS1","https://www.thechronicleherald.ca/news/local/nova-scotia-records-first-death-connected-to-covid-19-total-cases-rise-to-310-434748/"
"Nova Scotia",2,"NS2","https://atlantic.ctvnews.ca/n-s-reports-second-covid-19-death-at-cape-breton-regional-hospital-1.4889936"
"Nova Scotia",3,"NS3","https://atlantic.ctvnews.ca/third-n-s-covid-19-death-was-resident-of-dartmouth-long-term-care-home-1.4895175"
"Nova Scotia",4,"NS4","https://atlantic.ctvnews.ca/nova-scotia-reports-three-more-covid-19-deaths-43-new-cases-1.4902078"
"Nova Scotia",5,"NS5","https://atlantic.ctvnews.ca/nova-scotia-reports-one-new-covid-19-related-death-two-new-cases-1.5075728"
"Ontario",1,"ON1","https://globalnews.ca/news/6701911/coronavirus-second-death-ontario/"
"Ontario",2,"ON2","https://www.durham.ca/Modules/News/index.aspx?feedId=afd6c417-383e-4d55-b0ec-43c96d4f448b&newsId=3288eb03-4053-4cb4-98f6-1ef58d7ea19a"
"Ontario",3,"ON3","https://www.hamilton.ca/government-information/news-centre/news-releases/hamilton-public-health-confirms-first-death-related"
