"age","age_display"
"<10","<10"
"< 10","<10"
"<20","<20"
"0-9","<20"
"0-17","<20"
"0-19","<20"
"<1","<20"
"<10","<20"
"<18","<20"
"<19","<20"
2,"<20"
"10-19","<20"
"20-29","20-29"
"30-39","30-39"
"40-49","40-49"
"50-59","50-59"
50,"50-59"
"60-69","60-69"
61,"60-69"
"70-79","70-79"
"80-89","80-89"
"90-99","90-99"
"100-109","100+"
"100-199","100+"
"110-119","100+"
"120-129","100+"
"Not Reported","NR"
"18-24","NR"
"18-34","NR"
"20-39","NR"
"30-49","NR"
"35-44","NR"
"40-59","NR"
"45-64","NR"
"45-65","NR"
">60","NR"
"> 60","NR"
"60-79","NR"
"65-79","NR"
">70","NR"
"80+","NR"
">80","NR"
"90+","NR"
">90","NR"
