"province","health_region","date_death_report","deaths","cumulative_deaths"
"Alberta","Edmonton","24-03-2020",0,1
"Alberta","Edmonton","25-03-2020",0,1
"Alberta","Edmonton","26-03-2020",0,1
"Alberta","Edmonton","27-03-2020",0,1
"Alberta","Edmonton","28-03-2020",0,1
"Alberta","Edmonton","29-03-2020",0,1
"Alberta","Edmonton","30-03-2020",2,3
"Alberta","Edmonton","31-03-2020",0,3
"Alberta","Edmonton","01-04-2020",0,3
"Alberta","Edmonton","02-04-2020",0,3
"Alberta","Edmonton","03-04-2020",1,4
"Alberta","Edmonton","04-04-2020",0,4
"Alberta","Edmonton","05-04-2020",0,4
"Alberta","Edmonton","06-04-2020",0,4
"Alberta","Edmonton","07-04-2020",0,4
"Alberta","Edmonton","08-04-2020",0,4
"Alberta","Edmonton","09-04-2020",1,5
"Alberta","Edmonton","10-04-2020",2,7
"Alberta","Edmonton","11-04-2020",0,7
"Alberta","Edmonton","12-04-2020",0,7
"Alberta","Edmonton","13-04-2020",0,7
"Alberta","Edmonton","14-04-2020",1,8
"Alberta","Edmonton","15-04-2020",0,8
"Alberta","Edmonton","16-04-2020",0,8
"Alberta","Edmonton","17-04-2020",0,8
"Alberta","Edmonton","18-04-2020",0,8
"Alberta","Edmonton","19-04-2020",0,8
"Alberta","Edmonton","20-04-2020",1,9
"Alberta","Edmonton","21-04-2020",0,9
"Alberta","Edmonton","22-04-2020",0,9
"Alberta","Edmonton","23-04-2020",0,9
"Alberta","Edmonton","24-04-2020",1,10
"Alberta","Edmonton","25-04-2020",0,10
"Alberta","Edmonton","26-04-2020",0,10
"Alberta","Edmonton","27-04-2020",0,10
"Alberta","Edmonton","28-04-2020",1,11
"Alberta","Edmonton","29-04-2020",0,11
"Alberta","Edmonton","30-04-2020",1,12
"Alberta","Edmonton","01-05-2020",0,12
"Alberta","Edmonton","02-05-2020",0,12
"Alberta","Edmonton","03-05-2020",0,12
"Alberta","North","08-03-2020",0,0
"Alberta","North","09-03-2020",0,0
"Alberta","North","10-03-2020",0,0
"Alberta","North","11-03-2020",0,0
"Alberta","North","12-03-2020",0,0
"Alberta","North","13-03-2020",0,0
"Alberta","North","14-03-2020",0,0
"Alberta","North","15-03-2020",0,0
"Alberta","North","16-03-2020",0,0
"Alberta","North","17-03-2020",0,0
"Alberta","North","18-03-2020",0,0
"Alberta","North","19-03-2020",0,0
"Alberta","North","20-03-2020",0,0
"Alberta","North","21-03-2020",0,0
"Alberta","North","22-03-2020",0,0
"Alberta","North","23-03-2020",0,0
"Alberta","North","24-03-2020",0,0
"Alberta","North","25-03-2020",0,0
"Alberta","North","26-03-2020",0,0
"Alberta","North","27-03-2020",0,0
"Alberta","North","28-03-2020",0,0
"Alberta","North","29-03-2020",0,0
"Alberta","North","30-03-2020",1,1
"Alberta","North","31-03-2020",0,1
"Alberta","North","01-04-2020",1,2
"Alberta","North","02-04-2020",1,3
"Alberta","North","03-04-2020",0,3
"Alberta","North","04-04-2020",0,3
"Alberta","North","05-04-2020",1,4
"Alberta","North","06-04-2020",0,4
"Alberta","North","07-04-2020",0,4
"Alberta","North","08-04-2020",0,4
"Alberta","North","09-04-2020",0,4
"Alberta","North","10-04-2020",1,5
"Alberta","North","11-04-2020",0,5
"Alberta","North","12-04-2020",1,6
"Alberta","North","13-04-2020",0,6
"Alberta","North","14-04-2020",0,6
"Alberta","North","15-04-2020",0,6
"Alberta","North","16-04-2020",1,7
"Alberta","North","17-04-2020",0,7
"Alberta","North","18-04-2020",0,7
"Alberta","North","19-04-2020",1,8
"Alberta","North","20-04-2020",1,9
"Alberta","North","21-04-2020",1,10
"Alberta","North","22-04-2020",4,14
"Alberta","North","23-04-2020",0,14
"Alberta","North","24-04-2020",0,14
"Alberta","North","25-04-2020",0,14
"Alberta","North","26-04-2020",0,14
"Alberta","North","27-04-2020",0,14
"Alberta","North","28-04-2020",0,14
"Alberta","North","29-04-2020",0,14
"Alberta","North","30-04-2020",0,14
"Alberta","North","01-05-2020",1,15
"Alberta","North","02-05-2020",0,15
"Alberta","North","03-05-2020",0,15
"Alberta","South","08-03-2020",0,0
"Alberta","South","09-03-2020",0,0
"Alberta","South","10-03-2020",0,0
"Alberta","South","11-03-2020",0,0
"Alberta","South","12-03-2020",0,0
"Alberta","South","13-03-2020",0,0
"Alberta","South","14-03-2020",0,0
"Alberta","South","15-03-2020",0,0
"Alberta","South","16-03-2020",0,0
"Alberta","South","17-03-2020",0,0
"Alberta","South","18-03-2020",0,0
"Alberta","South","19-03-2020",0,0
"Alberta","South","20-03-2020",0,0
"Alberta","South","21-03-2020",0,0
"Alberta","South","22-03-2020",0,0
"Alberta","South","23-03-2020",0,0
"Alberta","South","24-03-2020",0,0
"Alberta","South","25-03-2020",0,0
"Alberta","South","26-03-2020",0,0
"Alberta","South","27-03-2020",0,0
"Alberta","South","28-03-2020",0,0
"Alberta","South","29-03-2020",0,0
"Alberta","South","30-03-2020",0,0
"Alberta","South","31-03-2020",0,0
"Alberta","South","01-04-2020",0,0
"Alberta","South","02-04-2020",0,0
"Alberta","South","03-04-2020",0,0
"Alberta","South","04-04-2020",0,0
"Alberta","South","05-04-2020",0,0
"Alberta","South","06-04-2020",0,0
"Alberta","South","07-04-2020",0,0
"Alberta","South","08-04-2020",0,0
"Alberta","South","09-04-2020",0,0
"Alberta","South","10-04-2020",0,0
"Alberta","South","11-04-2020",0,0
"Alberta","South","12-04-2020",0,0
"Alberta","South","13-04-2020",0,0
"Alberta","South","14-04-2020",0,0
"Alberta","South","15-04-2020",0,0
"Alberta","South","16-04-2020",0,0
"Alberta","South","17-04-2020",0,0
"Alberta","South","18-04-2020",0,0
"Alberta","South","19-04-2020",0,0
"Alberta","South","20-04-2020",0,0
"Alberta","South","21-04-2020",0,0
"Alberta","South","22-04-2020",0,0
"Alberta","South","23-04-2020",2,2
"Alberta","South","24-04-2020",0,2
"Alberta","South","25-04-2020",0,2
"Alberta","South","26-04-2020",0,2
"Alberta","South","27-04-2020",0,2
"Alberta","South","28-04-2020",2,4
"Alberta","South","29-04-2020",0,4
"Alberta","South","30-04-2020",1,5
"Alberta","South","01-05-2020",0,5
"Alberta","South","02-05-2020",0,5
"Alberta","South","03-05-2020",0,5
"BC","Fraser","08-03-2020",0,0
"BC","Fraser","09-03-2020",0,0
"BC","Fraser","10-03-2020",0,0
"BC","Fraser","11-03-2020",0,0
"BC","Fraser","12-03-2020",0,0
"BC","Fraser","13-03-2020",0,0
"BC","Fraser","14-03-2020",0,0
"BC","Fraser","15-03-2020",0,0
"BC","Fraser","16-03-2020",0,0
"BC","Fraser","17-03-2020",1,1
"BC","Fraser","18-03-2020",0,1
"BC","Fraser","19-03-2020",0,1
"BC","Fraser","20-03-2020",0,1
"BC","Fraser","21-03-2020",0,1
"BC","Fraser","22-03-2020",0,1
"BC","Fraser","23-03-2020",1,2
"BC","Fraser","24-03-2020",0,2
"BC","Fraser","25-03-2020",0,2
"BC","Fraser","26-03-2020",0,2
"BC","Fraser","27-03-2020",0,2
"BC","Fraser","28-03-2020",0,2
"BC","Fraser","29-03-2020",0,2
"BC","Fraser","30-03-2020",0,2
"BC","Fraser","31-03-2020",1,3
"BC","Fraser","01-04-2020",1,4
"BC","Fraser","02-04-2020",1,5
"BC","Fraser","03-04-2020",1,6
"BC","Fraser","04-04-2020",1,7
"BC","Fraser","05-04-2020",0,7
"BC","Fraser","06-04-2020",0,7
"BC","Fraser","07-04-2020",1,8
"BC","Fraser","08-04-2020",1,9
"BC","Fraser","09-04-2020",1,10
"BC","Fraser","10-04-2020",3,13
"BC","Fraser","11-04-2020",1,14
"BC","Fraser","12-04-2020",0,14
"BC","Fraser","13-04-2020",0,14
"BC","Fraser","14-04-2020",1,15
"BC","Fraser","15-04-2020",1,16
"BC","Fraser","16-04-2020",0,16
"BC","Fraser","17-04-2020",1,17
"BC","Fraser","18-04-2020",2,19
"BC","Fraser","19-04-2020",0,19
"BC","Fraser","20-04-2020",5,24
"BC","Fraser","21-04-2020",0,24
"BC","Fraser","22-04-2020",2,26
"BC","Fraser","23-04-2020",1,27
"BC","Fraser","24-04-2020",3,30
"BC","Fraser","25-04-2020",1,31
"BC","Fraser","26-04-2020",0,31
"BC","Fraser","27-04-2020",0,31
"BC","Fraser","28-04-2020",0,31
"BC","Fraser","29-04-2020",1,32
"BC","Fraser","30-04-2020",1,33
"BC","Fraser","01-05-2020",1,34
"BC","Fraser","02-05-2020",0,34
"BC","Fraser","03-05-2020",0,34
"BC","Interior","08-03-2020",0,0
"BC","Interior","09-03-2020",0,0
"BC","Interior","10-03-2020",0,0
"BC","Interior","11-03-2020",0,0
"BC","Interior","12-03-2020",0,0
"BC","Interior","13-03-2020",0,0
"BC","Interior","14-03-2020",0,0
"BC","Interior","15-03-2020",0,0
"BC","Interior","16-03-2020",0,0
"BC","Interior","17-03-2020",0,0
"BC","Interior","18-03-2020",0,0
"BC","Interior","19-03-2020",0,0
"BC","Interior","20-03-2020",0,0
"BC","Interior","21-03-2020",0,0
"BC","Interior","22-03-2020",0,0
"BC","Interior","23-03-2020",0,0
"BC","Interior","24-03-2020",0,0
"BC","Interior","25-03-2020",0,0
"BC","Interior","26-03-2020",0,0
"BC","Interior","27-03-2020",0,0
"BC","Interior","28-03-2020",0,0
"BC","Interior","29-03-2020",0,0
"BC","Interior","30-03-2020",0,0
"BC","Interior","31-03-2020",0,0
"BC","Interior","01-04-2020",0,0
"BC","Interior","02-04-2020",0,0
"BC","Interior","03-04-2020",0,0
"BC","Interior","04-04-2020",0,0
"BC","Interior","05-04-2020",0,0
"BC","Interior","06-04-2020",0,0
"BC","Interior","07-04-2020",0,0
"BC","Interior","08-04-2020",0,0
"BC","Interior","09-04-2020",0,0
"BC","Interior","10-04-2020",0,0
"BC","Interior","11-04-2020",0,0
"BC","Interior","12-04-2020",0,0
"BC","Interior","13-04-2020",0,0
"BC","Interior","14-04-2020",0,0
"BC","Interior","15-04-2020",1,1
"BC","Interior","16-04-2020",0,1
"BC","Interior","17-04-2020",0,1
"BC","Interior","18-04-2020",0,1
"BC","Interior","19-04-2020",0,1
"BC","Interior","20-04-2020",0,1
"BC","Interior","21-04-2020",0,1
"BC","Interior","22-04-2020",0,1
"BC","Interior","23-04-2020",0,1
"BC","Interior","24-04-2020",0,1
"BC","Interior","25-04-2020",0,1
"BC","Interior","26-04-2020",0,1
"BC","Interior","27-04-2020",1,2
"BC","Interior","28-04-2020",0,2
"BC","Interior","29-04-2020",0,2
"BC","Interior","30-04-2020",0,2
"BC","Interior","01-05-2020",0,2
"BC","Interior","02-05-2020",0,2
"BC","Interior","03-05-2020",0,2
"BC","Island","08-03-2020",0,0
"BC","Island","09-03-2020",0,0
"BC","Island","10-03-2020",0,0
"BC","Island","11-03-2020",0,0
"BC","Island","12-03-2020",0,0
"BC","Island","13-03-2020",0,0
"BC","Island","14-03-2020",0,0
"BC","Island","15-03-2020",0,0
"BC","Island","16-03-2020",0,0
"BC","Island","17-03-2020",0,0
"BC","Island","18-03-2020",0,0
"BC","Island","19-03-2020",0,0
"BC","Island","20-03-2020",0,0
"BC","Island","21-03-2020",0,0
"BC","Island","22-03-2020",0,0
"BC","Island","23-03-2020",0,0
"BC","Island","24-03-2020",0,0
"BC","Island","25-03-2020",0,0
"BC","Island","26-03-2020",0,0
"BC","Island","27-03-2020",0,0
"BC","Island","28-03-2020",0,0
"BC","Island","29-03-2020",0,0
"BC","Island","30-03-2020",0,0
"BC","Island","31-03-2020",0,0
"BC","Island","01-04-2020",0,0
"BC","Island","02-04-2020",2,2
"BC","Island","03-04-2020",0,2
"BC","Island","04-04-2020",0,2
"BC","Island","05-04-2020",0,2
"BC","Island","06-04-2020",0,2
"BC","Island","07-04-2020",0,2
"BC","Island","08-04-2020",0,2
"BC","Island","09-04-2020",0,2
"BC","Island","10-04-2020",0,2
"BC","Island","11-04-2020",0,2
"BC","Island","12-04-2020",0,2
"BC","Island","13-04-2020",0,2
"BC","Island","14-04-2020",0,2
"BC","Island","15-04-2020",0,2
"BC","Island","16-04-2020",1,3
"BC","Island","17-04-2020",0,3
"BC","Island","18-04-2020",0,3
"BC","Island","19-04-2020",0,3
"BC","Island","20-04-2020",0,3
"BC","Island","21-04-2020",0,3
"BC","Island","22-04-2020",0,3
"BC","Island","23-04-2020",0,3
"BC","Island","24-04-2020",0,3
"BC","Island","25-04-2020",1,4
"BC","Island","26-04-2020",0,4
"BC","Island","27-04-2020",0,4
"BC","Island","28-04-2020",0,4
"BC","Island","29-04-2020",0,4
"BC","Island","30-04-2020",0,4
"BC","Island","01-05-2020",0,4
"BC","Island","02-05-2020",0,4
"BC","Island","03-05-2020",0,4
"BC","Not Reported","08-03-2020",0,0
"BC","Not Reported","09-03-2020",0,0
"BC","Not Reported","10-03-2020",0,0
"BC","Not Reported","11-03-2020",0,0
"BC","Not Reported","12-03-2020",0,0
"BC","Not Reported","13-03-2020",0,0
"BC","Not Reported","14-03-2020",0,0
"BC","Not Reported","15-03-2020",0,0
"BC","Not Reported","16-03-2020",0,0
"BC","Not Reported","17-03-2020",0,0
"BC","Not Reported","18-03-2020",0,0
"BC","Not Reported","19-03-2020",0,0
"BC","Not Reported","20-03-2020",0,0
