"province","additional_source_id","additional_source_short","additional_source_full"
"Alberta",1,"AB1","https://edmonton.ctvnews.ca/alberta-s-first-presumptive-coronavirus-case-in-calgary-zone-1.4841023"
"Alberta",2,"AB2","https://globalnews.ca/news/6647035/new-presumptive-cases-covid-19-in-alberta/"
"Alberta",3,"AB3","On 04-03-2020 Alberat announced less ""unknown"" regions, we have assumed a redistribution of cases accordingly."
"Alberta",4,"AB4","On 04-04-2020, Alberta announced less unknown health regions than the day before. We have assumed redistribution of cases accordingly"
"Alberta",5,"AB5","https://www.youtube.com/watch?v=BGox1Bkd2OY, https://globalnews.ca/news/6768561/alberta-health-coronavirus-covid-19-april-2/"
"Alberta",6,"AB6","07-05-2020: Alberta had 3 fewer north cases. Assumed a redistribution of cases accordingly."
"Alberta",7,"AB7","05-01-2021: 8 cases removed from Not Reported and reallocated accordingly"
"Alberta",8,"AB8","https://www.alberta.ca/stats/covid-19-alberta-statistics.htm#data-export"
"Alberta",228,"AB228",""
"Alberta",229,"AB229","On 04-03-2020 Alberat announced less ""unknown"" regions, we have assumed a redistribution of cases accordingly. "
"Alberta",238,"AB238","https://www.alberta.ca/covid-19-alberta-data.aspx"
"BC",1,"BC1","https://vancouverisland.ctvnews.ca/b-c-health-officials-discourage-travel-outside-canada-ban-events-larger-than-250-people-1.4850903"
"BC",2,"BC2","https://www.youtube.com/watch?time_continue=55&v=f84BGlFvriU&feature=emb_title"
"BC",3,"BC3","https://news.gov.bc.ca/releases/2020HLTH0077-000484"
"BC",4,"BC4","https://www.fraserhealth.ca/news/2020/Mar/fraser-health-confirms-a-staff-covid-19-case-at-dufferin-care-centre#.XnVNQKhKjIU"
"BC",5,"BC5","6 new hospital admissions (27 total), 6 total recovered, 1 new death (10 total)"
"BC",6,"BC6","https://globalnews.ca/news/6717945/coronavirus-health-update-march-23/"
"BC",7,"BC7","https://news.gov.bc.ca/releases/2020HLTH0105-000556"
"BC",8,"BC8","https://news.gov.bc.ca/releases/2020HLTH0107-000563"
"BC",9,"BC9","https://news.gov.bc.ca/releases/2020HLTH0014-000585"
"BC",10,"BC10","https://www.youtube.com/watch?v=66DKLWSDIyI"
"BC",11,"BC11","https://bc.ctvnews.ca/21-more-cases-of-covid-19-in-b-c-1-new-death-1.4942580"
"BC",12,"BC12","https://experience.arcgis.com/experience/a6f23959a8b14bfa989e3cda29297ded"
"BC",13,"BC13","http://www.bccdc.ca/Health-Info-Site/Documents/BC_Surveillance_Summary_June_11_2020.pdf"
"BC",228,"BC228",""
"Manitoba",1,"MB1","https://news.gov.mb.ca/news/index.html?item=47057"
"Manitoba",2,"MB2","https://news.gov.mb.ca/news/index.html?item=47541"
"Manitoba",3,"MB3","https://globalnews.ca/news/6974223/asymptomatic-covid-19-testing-happening-in-manitoba-as-two-new-cases-announced/"
